VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost
VEH1,CD1,15,CD1-C23-CD1,1,15,23.58,0,71496.91799999999
VEH2,CD1,29,CD1-C6-C18-CD1,2,17-12,40.269999999999996,0,122102.66699999999
VEH3,CD1,120,CD1-C4-C1-C24-C16-C10-C15-C22-C13-CD1,8,15-13-11-10-15-17-18-21,81.3,0,246509.72999999998
VEH4,CD1,15,CD1-C14-CD1,1,15,21.57,0,65402.397
VEH5,CD1,12,CD1-C3-CD1,1,12,26.13,0,79228.773
VEH6,CD1,27,CD1-C12-C20-CD1,2,12-15,32.11,0,97360.731
VEH7,CD1,102,CD1-C17-C11-C9-C8-C5-CD1,5,25-17-20-20-20,72.02,0,218371.84199999998
VEH8,CD1,57,CD1-C7-C21-C19-C2-CD1,4,17-14-11-15,62.56,0,189688.176
